Field,Species,Experiment,Revised_irrigation_treatment,Range,Column,Plot,Rep,Type,SbEMS_ID,PI_accession,Harvest_Id,PI_check,,
south,Sorghum bicolor,EMS_pop,WW,04,15,0415,1,experimental,3610,PI 678248,WL19_FL58_SbEMS_BL36,PI 678248,,
south,Sorghum bicolor,EMS_pop,WW,04,16,0416,1,experimental,4107,PI 678303,WL19_FL58_SbEMS_BL219,PI 678303,,
south,Sorghum bicolor,EMS_pop,WW,04,17,0417,1,experimental,2039,PI 678090,WL19_FL58_SbEMS_BL356,PI 678090,,
south,Sorghum bicolor,EMS_pop,WW,04,18,0418,1,experimental,1457,PI 678034,WL19_FL58_SbEMS_BL170,PI 678034,,
south,Sorghum bicolor,EMS_pop,WW,04,19,0419,1,experimental,3112,PI 678201,WL19_FL58_SbEMS_BL85,PI 678201,,
south,Sorghum bicolor,EMS_pop,WW,04,20,0420,1,experimental,4012,PI 678293,WL19_FL58_SbEMS_BL24,PI 678293,,
south,Sorghum bicolor,EMS_pop,WW,04,21,0421,1,experimental,5095,PI 678362,WL19_FL58_SbEMS_BL241,PI 678362,,
south,Sorghum bicolor,EMS_pop,WW,04,22,0422,1,experimental,1608,PI 678047,WL19_FL58_SbEMS_BL247,PI 678047,,
south,Sorghum bicolor,EMS_pop,WW,04,23,0423,1,experimental,118,PI 677894,WL19_FL58_SbEMS_BL366,PI 677894,,
south,Sorghum bicolor,EMS_pop,WW,04,24,0424,1,experimental,3222,PI 678213,WL19_FL58_SbEMS_BL202,PI 678213,,
south,Sorghum bicolor,EMS_pop,WW,04,25,0425,1,experimental,4364,PI 678324,WL19_FL58_SbEMS_BL571,PI 678324,,
south,Sorghum bicolor,EMS_pop,WW,04,26,0426,1,experimental,3105,PI 678198,WL19_FL58_SbEMS_BL205,PI 678198,,
south,Sorghum bicolor,EMS_pop,WW,04,27,0427,1,experimental,1769,PI 678067,WL19_FL58_SbEMS_BL42,PI 678067,,
south,Sorghum bicolor,EMS_pop,WW,04,28,0428,1,experimental,62,PI 677891,WL19_FL58_SbEMS_BL488,PI 677891,,
south,Sorghum bicolor,EMS_pop,WW,04,29,0429,1,experimental,1505,PI 678036,WL19_FL58_SbEMS_BL89,PI 678036,,
south,Sorghum bicolor,EMS_pop,WW,04,30,0430,1,experimental,179,PI 677901,WL19_FL58_SbEMS_BL87,PI 677901,,
south,Sorghum bicolor,EMS_pop,WW,04,31,0431,1,experimental,3010,PI 678191,WL19_FL58_SbEMS_BL486,PI 678191,,
south,Sorghum bicolor,EMS_pop,WW,04,32,0432,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,05,01,0501,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,05,02,0502,1,experimental,6,PI 677884,WL19_FL58_SbEMS_BL172,PI 677884,,
south,Sorghum bicolor,EMS_pop,WW,05,03,0503,1,experimental,3362,PI 678223,WL19_FL58_SbEMS_BL439,PI 678223,,
south,Sorghum bicolor,EMS_pop,WW,05,04,0504,1,experimental,4690,PI 678355,WL19_FL58_SbEMS_BL524,PI 678355,,
south,Sorghum bicolor,EMS_pop,WW,05,05,0505,1,experimental,4689,PI 678354,WL19_FL58_SbEMS_BL561,PI 678354,,
south,Sorghum bicolor,EMS_pop,WW,05,06,0506,1,experimental,647,PI 677951,WL19_FL58_SbEMS_BL510,PI 677951,,
south,Sorghum bicolor,EMS_pop,WW,05,07,0507,1,experimental,3663,PI 678256,WL19_FL58_SbEMS_BL311,PI 678256,,
south,Sorghum bicolor,EMS_pop,WW,05,08,0508,1,experimental,1348,PI 678023,WL19_FL58_SbEMS_BL16,PI 678023,,
south,Sorghum bicolor,EMS_pop,WW,05,09,0509,1,experimental,3110,PI 678200,WL19_FL58_SbEMS_BL128,PI 678200,,
south,Sorghum bicolor,EMS_pop,WW,05,10,0510,1,experimental,2354,PI 678119,WL19_FL58_SbEMS_BL388,PI 678119,,
south,Sorghum bicolor,EMS_pop,WW,05,11,0511,1,experimental,1669,PI 678059,WL19_FL58_SbEMS_BL363,PI 678059,,
south,Sorghum bicolor,EMS_pop,WW,05,12,0512,1,experimental,60,PI 677889,WL19_FL58_SbEMS_BL566,PI 677889,,
south,Sorghum bicolor,EMS_pop,WW,05,13,0513,1,experimental,1877,PI 678078,WL19_FL58_SbEMS_BL239,PI 678078,,
south,Sorghum bicolor,EMS_pop,WW,05,14,0514,1,experimental,1050,PI 677994,WL19_FL58_SbEMS_BL580,PI 677994,,
south,Sorghum bicolor,EMS_pop,WW,05,15,0515,1,experimental,2465,PI 678132,WL19_FL58_SbEMS_BL462,PI 678132,,
south,Sorghum bicolor,EMS_pop,WW,05,16,0516,1,experimental,3058,PI 678196,WL19_FL58_SbEMS_BL287,PI 678196,,
south,Sorghum bicolor,EMS_pop,WW,05,17,0517,1,experimental,1716,PI 678060,WL19_FL58_SbEMS_BL321,PI 678060,,
south,Sorghum bicolor,EMS_pop,WW,05,18,0518,1,experimental,2038,PI 678089,WL19_FL58_SbEMS_BL396,PI 678089,,
south,Sorghum bicolor,EMS_pop,WW,05,19,0519,1,experimental,986,PI 677986,WL19_FL58_SbEMS_BL303,PI 677986,,
south,Sorghum bicolor,EMS_pop,WW,05,20,0520,1,experimental,696,PI 677959,WL19_FL58_SbEMS_BL190,PI 677959,,
south,Sorghum bicolor,EMS_pop,WW,05,21,0521,1,experimental,657,PI 677954,WL19_FL58_SbEMS_BL390,PI 677954,,
south,Sorghum bicolor,EMS_pop,WW,05,22,0522,1,experimental,2619,PI 678145,WL19_FL58_SbEMS_BL539,PI 678145,,
south,Sorghum bicolor,EMS_pop,WW,05,23,0523,1,experimental,4554,PI 678343,WL19_FL58_SbEMS_BL406,PI 678343,,
south,Sorghum bicolor,EMS_pop,WW,05,24,0524,1,experimental,4603,PI 678346,WL19_FL58_SbEMS_BL288,PI 678346,,
south,Sorghum bicolor,EMS_pop,WW,05,25,0525,1,experimental,589,PI 677941,WL19_FL58_SbEMS_BL314,PI 677941,,
south,Sorghum bicolor,EMS_pop,WW,05,26,0526,1,experimental,3054,PI 678195,WL19_FL58_SbEMS_BL328,PI 678195,,
south,Sorghum bicolor,EMS_pop,WW,05,27,0527,1,experimental,4105,PI 678302,WL19_FL58_SbEMS_BL257,PI 678302,,
south,Sorghum bicolor,EMS_pop,WW,05,28,0528,1,experimental,257,PI 677906,WL19_FL58_SbEMS_BL482,PI 677906,,
south,Sorghum bicolor,EMS_pop,WW,05,29,0529,1,experimental,2248,PI 678110,WL19_FL58_SbEMS_BL151,PI 678110,,
south,Sorghum bicolor,EMS_pop,WW,05,30,0530,1,experimental,2808,PI 678165,WL19_FL58_SbEMS_BL333,PI 678165,,
south,Sorghum bicolor,EMS_pop,WW,05,31,0531,1,experimental,3813,PI 678276,WL19_FL58_SbEMS_BL106,PI 678276,,
south,Sorghum bicolor,EMS_pop,WW,05,32,0532,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,06,01,0601,1,border,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,06,02,0602,1,experimental,2661,PI 678148,WL19_FL58_SbEMS_BL417,PI 678148,,
south,Sorghum bicolor,EMS_pop,WW,06,03,0603,1,experimental,2463,PI 678131,WL19_FL58_SbEMS_BL502,PI 678131,,
south,Sorghum bicolor,EMS_pop,WW,06,04,0604,1,experimental,813,PI 677966,WL19_FL58_SbEMS_BL506,PI 677966,,
south,Sorghum bicolor,EMS_pop,WW,06,05,0605,1,experimental,NA,BTx_623,#N/A,#N/A,,
south,Sorghum bicolor,EMS_pop,WW,06,06,0606,1,experimental,3157,PI 678204,WL19_FL58_SbEMS_BL564,PI 678204,,
south,Sorghum bicolor,EMS_pop,WW,06,07,0607,1,experimental,2714,PI 678156,WL19_FL58_SbEMS_BL97,PI 678156,,
south,Sorghum bicolor,EMS_pop,WW,06,08,0608,1,experimental,3658,PI 678252,WL19_FL58_SbEMS_BL470,PI 678252,,
south,Sorghum bicolor,EMS_pop,WW,06,09,0609,1,experimental,3914,PI 678285,WL19_FL58_SbEMS_BL342,PI 678285,,
south,Sorghum bicolor,EMS_pop,WW,06,10,0610,1,experimental,2457,PI 678129,WL19_FL58_SbEMS_BL582,PI 678129,,
south,Sorghum bicolor,EMS_pop,WW,06,11,0611,1,experimental,5115,PI 678363,WL19_FL58_SbEMS_BL204,PI 678363,,
